param_index,log_prob,snowline_rmse_m,snowline_mae_m,snowline_bias_m,snowline_n_years,snowline_passed,area_rmse_km2,area_mae_km2,area_bias_km2,area_n_checkpoints,area_passed,passed_both,MF,MF_grad,r_snow,r_ice,precip_grad,precip_corr,T0,internal_lapse
281,-666.9863446464229,90.4822126637281,68.11678132880519,27.936963644288824,22,False,,,,0,False,False,7.00402242786559,-0.003950672669575319,0.0019246475771947703,0.0038492951543895406,0.0006507831863208506,1.6751496448233456,0.009681167255998834,-0.005
282,-666.9903014304289,91.13527681611082,68.54942849570416,27.332952898480656,22,False,,,,0,False,False,7.06851994487748,-0.003993968185129811,0.0019272083996104683,0.0038544167992209367,0.0005980270482470781,1.7370189782100676,0.005552747701097295,-0.005
283,-666.9928877613235,94.08123246776796,70.61953949429889,30.197543557201175,22,False,,,,0,False,False,6.931077683535619,-0.0038904039798675384,0.0019725051887354616,0.003945010377470923,0.0005143643003066188,1.784312126395147,0.00391532458923128,-0.005
284,-666.9930358664704,90.13578080518849,67.90970423040787,27.347381943273493,22,False,,,,0,False,False,7.179750527277646,-0.00412819669694495,0.0017483241281957078,0.0034966482563914157,0.0005789601350690756,1.7397840406918086,0.0043028921847601265,-0.005
285,-666.9965463155021,90.23297610681121,68.09432932154373,28.66135566973446,22,False,,,,0,False,False,7.227579041909331,-0.00409731147433823,0.0015603684321935335,0.003120736864387067,0.0006217606269931457,1.7063742393087213,0.002578018515659585,-0.005
286,-666.997209522142,93.46961371035475,70.14841238441419,31.030784712115654,22,False,,,,0,False,False,6.858161409603859,-0.0036635681111838797,0.0018108614315102954,0.0036217228630205907,0.0006862510546963272,1.6521312099726035,0.004398810367921939,-0.005
287,-666.9979912032933,95.9169879393938,71.98497170337387,32.02457958847732,22,False,,,,0,False,False,6.89922957789101,-0.003739260540925655,0.0018556048566374063,0.0037112097132748125,0.0005465536882838613,1.7694752981091484,0.0013484673452908618,-0.005
288,-666.9981877362236,90.13578080518849,67.90970423040787,27.347381943273493,22,False,,,,0,False,False,7.178499444276568,-0.004126001722686185,0.001747993393276353,0.003495986786552706,0.0005796957301337524,1.7392040113608944,0.004454830497082056,-0.005
289,-666.9984616858657,95.13518174709871,71.42110334691364,30.735601044718656,22,False,,,,0,False,False,7.023954814961608,-0.003825370731175068,0.0017089812303240116,0.0034179624606480233,0.0005383545862099441,1.7917417441722165,0.002765796952848636,-0.005
290,-667.0000960689407,95.32457165228266,71.53699591567354,31.26899384753573,22,False,,,,0,False,False,6.942129686310232,-0.003782443748932216,0.0017994622400843664,0.0035989244801687328,0.000543388486354251,1.7741094761192484,0.004603580990486924,-0.005
291,-667.0004794716797,89.65816475779384,67.76223802488335,28.58276531175842,22,False,,,,0,False,False,7.055361484738032,-0.00394492900717339,0.0017228437450368134,0.003445687490073627,0.0007403635250932204,1.6021476944026831,0.0038538543113279386,-0.005
