rank,composite_score,snowline_rmse_m,area_rmse_km2,log_prob,selected,MF,MF_grad,r_snow,precip_grad,precip_corr,T0
336,0.8856770457644595,88.04227359850223,0.3760983913818294,-682.850481804655,False,7.126793512138223,-0.004044104194748922,0.0015790933168490472,0.0007586555025172935,1.5752426888054174,0.002606580569118858
337,0.8862353892541124,88.14190988753356,0.3757215280851849,-683.0254150654703,False,7.051751850729672,-0.004015392883380911,0.0017343816366972736,0.0007553307347873717,1.5750257277112965,0.002826438151381612
338,0.8864847745334301,86.7628836499559,0.3811823710509186,-682.7295662245324,False,7.287342140908997,-0.004267836259723669,0.0015978717725247914,0.0006879296505200565,1.6385022391981579,0.0018392667136468144
339,0.8874859721218656,88.55068316023382,0.3741434662443449,-682.9488815770352,False,7.356212430140338,-0.004289135477689899,0.0014623175661878816,0.0005995532320685602,1.7138934388453846,0.002462473473175607
340,0.8893831914556354,88.56540799334266,0.3741434662443449,-683.0601798746734,False,7.153948822308312,-0.004113993630342629,0.0017223004158198173,0.0006835832373926719,1.637313904162271,0.00999544462580415
341,0.8895495977179702,87.96592747452699,0.3765191451528943,-682.704820718833,False,7.047796728810644,-0.0040482056462295135,0.0019580375809001545,0.0007381374184276898,1.5989386884465173,0.0076876858609129465
342,0.8896055908711581,87.96636205255456,0.3765191451528943,-682.9944819624366,False,7.396167731106812,-0.004255566597431043,0.001267741347883952,0.0006850339758838151,1.6457680574262548,0.0032913625323438608
343,0.8897114354612163,87.96718354108587,0.3765191451528943,-682.7250601528722,False,7.051745309917912,-0.004051961525114611,0.0019524290701231034,0.0007380517247505717,1.5989278830494829,0.007772215525817597
344,0.8902168502554264,88.57187824508327,0.3741434662443449,-682.8204284160635,False,7.06930298024572,-0.003945398043421339,0.0016602954526493722,0.0008007770495243756,1.5542237691278897,0.0031091213358541564
345,0.8930141492961445,87.87535269825005,0.3769836424391203,-683.0663947867167,False,7.055672023330324,-0.003925451542519408,0.0018069185986990207,0.000862767779807548,1.5278517526580573,0.004419484264743136
346,0.8941418944727355,86.82231263172609,0.3811823710509186,-682.9498715868995,False,7.321714452597602,-0.004308163990697093,0.0016864457290429497,0.0006555197486718802,1.6785195483084323,0.0011691222813628754
347,0.8969212290025139,88.12954275008558,0.3760983913818294,-683.0380929244944,False,7.269859913848708,-0.0041061060562059175,0.00132015842172143,0.000753169470462736,1.5890441903120338,0.006940608816848378
348,0.8973749460878181,86.84740522097869,0.3811823710509186,-682.6504446434387,False,7.096767907238875,-0.004053437935992004,0.0017960396561560888,0.0007987761799152591,1.5599364890232574,0.0028137728475912532
349,0.8983562261314042,86.7610823428028,0.3815538406743319,-682.67941057485,False,7.174160436949819,-0.0041679408517333,0.0018501863541892502,0.0007329460713951992,1.6125769216002557,0.004651280346837795
350,0.8985494756270411,88.14218001314707,0.3760983913818294,-683.037566952879,False,7.278428898376045,-0.004114121043260353,0.001309841560526566,0.0007474384588316836,1.592969894425337,0.00695467985848254
351,0.899458773764149,88.64360731659775,0.3741434662443449,-683.0220423840751,False,7.144879952003672,-0.004109956108939856,0.001735326484285728,0.0006801193133559889,1.6394344077202194,0.009594121822168983
352,0.900330986501502,88.25130963554523,0.3757215280851849,-682.9599661624358,False,7.223223691867226,-0.004171887290273526,0.0015101999509526687,0.0006733612385226618,1.6381596720047464,0.0021696441721346764
353,0.9007317379860562,88.25441997635988,0.3757215280851849,-682.9881184907603,False,7.2256223236654336,-0.004172490151547427,0.0015192231810787023,0.0006742370457779193,1.6393643268912677,0.0037444285972134898
354,0.9007405510158447,88.15918554268957,0.3760983913818294,-682.8396480744907,False,7.039698229962516,-0.0038981963254841705,0.0016611915874638786,0.0008533118648481304,1.5219410758526721,0.003103505768887755
355,0.9007405510158447,88.15918554268957,0.3760983913818294,-682.8396771162375,False,7.039711454725275,-0.0038982100472155445,0.0016611809883015772,0.0008533087064467604,1.5219439104780768,0.0031036998501657656
356,0.9010135564328663,88.65567440600059,0.3741434662443449,-682.7978963452256,False,7.233457835112128,-0.004151622221787124,0.001599202610001094,0.0006779447953366233,1.6503822553753233,0.0033732308411981394
357,0.9016645833437926,88.16635720785976,0.3760983913818294,-682.6570266960672,False,7.1522918866805325,-0.00402563804965099,0.0015063022002550631,0.0007770129580504508,1.5687045410563776,0.0011051796239697088
358,0.9019936761688689,88.26421422039105,0.3757215280851849,-682.8775825081293,False,7.155352953195611,-0.004117482549476218,0.0016145404624965795,0.0006892508746437461,1.6261719537982198,0.0015035765039846027
359,0.9020001993675346,88.66333200904754,0.3741434662443449,-682.9945859066919,False,7.270742157501971,-0.004118652498517968,0.0013689485613072208,0.0007221847905760384,1.6129280217662627,0.004702620329842998
360,0.9041523212722269,88.07926316716078,0.3765191451528943,-683.0593953771842,False,7.329034095859409,-0.004218768474379552,0.0014093006196600145,0.0006828665508207643,1.6463657680150887,0.007253799251963483
361,0.9058515692252431,88.19885353932553,0.3760983913818294,-682.8736174552163,False,7.331071494235622,-0.004285750077728825,0.0015170752111288261,0.0006242125482676364,1.691392723579509,0.0023726779637743265
362,0.9061920603270563,88.09509413442605,0.3765191451528943,-682.9931273859738,False,7.3466576828959145,-0.004190802010976483,0.0013928155655455,0.0007144394047334565,1.6351549204140943,0.0016987241700984548
363,0.9068326009757313,86.92080864215764,0.3811823710509186,-682.6826177504424,False,7.1010403433586395,-0.004054383770773564,0.0017807240642677316,0.0008025145453442228,1.556251820026218,0.0033266080882118085
364,0.9075788722677676,88.2122596060764,0.3760983913818294,-682.4774959640887,False,7.2150385322822155,-0.0040952464973031425,0.0015071768160342907,0.0007440607604394457,1.599787288465217,8.50991992242707e-05
365,0.9085618496480279,88.21988875976278,0.3760983913818294,-682.7772437955539,False,7.0526687286652265,-0.00392883722769697,0.001678494871711443,0.0008266703157153366,1.5383449684722148,0.004128433701554307
