index,MF,MF_grad,r_snow,r_ice,precip_grad,precip_corr,T0,lapse_rate,composite_score,selected,snowline_rmse_m,area_rmse_km2,log_prob,rank
72,5.331498087261701,-0.0073967596280444,0.011732484345067,0.0139224604591379,0.0013167845134189,1.7736475654931112,0.0135781656892121,-0.0022278813896587,544.0302970754534,True,111.0,0.43,-544.0302970754534,72
73,5.257871714637417,-0.0070697271245505,0.0114302070626823,0.0138922135755113,0.0010372970820548,1.9638555887340985,0.0893359414689714,-0.0021740794663306,544.0401877819473,True,111.0,0.43,-544.0401877819473,73
74,5.366324767576417,-0.0074284791826804,0.0113313506460077,0.0145143008130175,0.0012517823301528,1.8253194814112992,0.0377258329491297,-0.002170665619503,544.0462702696765,True,111.0,0.43,-544.0462702696765,74
75,5.582773572356817,-0.0076038128581548,0.0110333776905722,0.0126320702123574,0.0009797203187433,2.113613565685324,0.2644742199838318,-0.0017588504700641,544.0462702696765,True,111.0,0.43,-544.0462702696765,75
76,5.587512208772667,-0.0076496570846022,0.0112456416714434,0.0122669544347629,0.0010655731983777,1.9295250396833885,0.0319851622385771,-0.0021382520077529,544.055770985709,True,111.0,0.43,-544.055770985709,76
77,5.337772152172559,-0.0072118674783745,0.0111247549286678,0.0139741708732353,0.0009502746366696,2.055100080757557,0.0713403570686896,-0.0021064196702276,544.055770985709,True,111.0,0.43,-544.055770985709,77
78,4.904298149480539,-0.0067080237527985,0.011241871766151,0.0143085426401212,0.0010406139962544,1.993947351009125,0.1234863385221819,-0.0019722684449236,544.057197021463,True,111.0,0.43,-544.057197021463,78
79,5.497311136296308,-0.0077068236911019,0.0115182188028933,0.0134805220192942,0.0008626359747748,2.09309637060793,0.0182646913353246,-0.0022159453952055,544.057197021463,True,111.0,0.43,-544.057197021463,79
80,5.678392423238956,-0.0076449916354619,0.0114926320137719,0.0128915944273145,0.0003917634808011,2.6600076103245724,0.0168522011456797,-0.002310629304791,544.0702574680761,True,111.0,0.43,-544.0702574680761,80
81,5.431561491034758,-0.0074180336044601,0.0114118772461187,0.0131976549760364,0.0011188430716733,1.9543605227833207,0.0766975834885539,-0.0020359277656491,544.0702574680761,True,111.0,0.43,-544.0702574680761,81
82,5.837817217566037,-0.0079759102276179,0.0112653575310884,0.0129717572342951,0.0003853825035797,2.638945087760308,0.0554973125279289,-0.0022354203371353,544.0702574680761,True,111.0,0.43,-544.0702574680761,82
83,5.733089484082782,-0.0078066596343529,0.011442841757069,0.0125104200335329,0.0005920432738259,2.434276366563673,0.0146380591084655,-0.0021988710846737,544.0702574680761,True,111.0,0.43,-544.0702574680761,83
84,5.167271150287966,-0.0070140509946618,0.0114777790955091,0.0148023850916794,0.0010056936914404,2.010310428439112,0.0036815338920356,-0.0022456928082298,544.0702574680761,True,111.0,0.43,-544.0702574680761,84
85,5.791723108192558,-0.0079848409482448,0.0115434914857457,0.01318214718112,0.0011662163386401,1.9499781281013056,0.0707051617004666,-0.0020494063573758,544.0702574680761,True,111.0,0.43,-544.0702574680761,85
86,5.956453125170842,-0.0082167517968275,0.0115114764397308,0.0125421916002596,0.0004315205928546,2.606751316318765,0.0431408208919611,-0.0022389030105735,544.0702574680761,True,111.0,0.43,-544.0702574680761,86
87,5.553242348132018,-0.0074292038598296,0.0109027828554354,0.0122565379930403,0.0009204353669679,2.010839474473631,0.0306981307091964,-0.0021923293984192,544.0702574680761,True,111.0,0.43,-544.0702574680761,87
88,5.548662791717237,-0.0076335667203856,0.0117945844741588,0.0125793739630872,0.0006636590679028,2.3168867573182346,0.0508809651879141,-0.0022013096672113,544.0702574680761,True,111.0,0.43,-544.0702574680761,88
89,5.12322707172832,-0.0070512413271904,0.0118236065744098,0.0150428738748604,0.0009297542283945,2.1256999918852184,0.0306454841739201,-0.0022029834403329,544.0702574680761,True,111.0,0.43,-544.0702574680761,89
90,5.270969773875959,-0.0070366026762826,0.0115117586472483,0.0131145800070106,0.0010464514229538,2.007694540267979,0.0208761251184566,-0.0021470859372297,544.0797232970045,True,111.0,0.43,-544.0797232970045,90
91,5.191428001011084,-0.0071871430786939,0.0114983683821273,0.0140836223460042,0.001338241597629,1.781530017331254,0.019342966008378,-0.0021496192256712,544.0797232970045,True,111.0,0.43,-544.0797232970045,91
92,5.17835216385649,-0.0070126536954017,0.0114860474894722,0.0146922361652248,0.0007942682074119,2.260914464047173,0.0377980043424875,-0.002164829664786,544.0917549814975,True,111.0,0.43,-544.0917549814975,92
