year,glacier_wide_balance_mean,glacier_wide_balance_std,glacier_wide_balance_min,glacier_wide_balance_max,area_km2_mean,area_km2_std,area_km2_min,area_km2_max,volume_km3_mean,volume_km3_std,volume_km3_min,volume_km3_max,mean_thickness_m_mean,mean_thickness_m_std,mean_thickness_m_min,mean_thickness_m_max,total_annual_runoff_mm_mean,total_annual_runoff_mm_std,total_annual_runoff_mm_min,total_annual_runoff_mm_max,mean_annual_discharge_m3s_mean,mean_annual_discharge_m3s_std,mean_annual_discharge_m3s_min,mean_annual_discharge_m3s_max,peak_daily_discharge_m3s_mean,peak_daily_discharge_m3s_std,peak_daily_discharge_m3s_min,peak_daily_discharge_m3s_max
2060,-2.577141007274854,0.809585127377756,-3.3991025827724335,-1.0867317976682176,32.908,0.9689871000173319,31.84,34.04,4.331516764569838,0.25580794574059484,4.054125296008191,4.6332245397418585,131.5106185678464,3.8867760190275233,127.32805577915173,136.1111791933566,9006.516086325502,956.3052091512346,7569.996430424573,10247.218376546663,8.571432223931986,0.7994560129302071,7.458784940401956,9.474218317709735,32.32038954369689,5.650115180936102,21.53030025102075,37.23474592600585
2061,-2.126968825272333,1.1900613509014004,-3.282581762243279,0.10025178987195392,32.522,1.0047367814507433,31.35,33.82,4.239823576699175,0.2693607102212816,3.936771800943095,4.592496475523873,130.23702862580595,4.244702840908936,125.57485808430926,135.7923263017112,8260.759808404886,743.5896871762048,6879.006927826922,9094.190226320748,7.7303549160017555,0.585247775424617,6.7093678611389596,8.421079042655382,31.105536790652195,3.05700111904721,26.383694348920912,34.772722306039796
2062,-2.595783403981829,0.371333193777197,-3.2377350199170127,-2.0976570792173703,32.245999999999995,1.105325291486628,30.94,33.82,4.165520116302654,0.29690513848941547,3.825095090258248,4.596263715005506,129.016669293833,4.751662525632127,123.62944700252903,135.90371717934673,8288.533381581481,1087.7438198957605,6630.71506238298,9897.16010718728,7.749215167496445,1.253003650993791,5.757176207151736,9.62090557115994,33.937472323963775,6.2107616622841535,26.548027804220627,45.293563143588656
2063,-2.1562281855599457,0.6413092052986684,-3.000570777626349,-1.337285146958889,31.896000000000004,1.098810265696494,30.62,33.47,4.074032664336492,0.2862015561014248,3.7542288097683527,4.499983999432535,127.57245014780703,4.544350529641434,122.60708065866599,134.44828202666673,8225.304566289782,993.2438262368698,7179.560190177064,10058.675705107771,7.5576121952165805,0.9366819359388493,6.774435030933328,9.371430817648305,32.48189325149656,2.9985628660123673,28.999282953794857,37.10890812216753
2064,-2.5134435678951794,1.0113774828345448,-4.035131944268196,-1.29110949184687,31.567999999999994,1.1913421003221525,30.16,33.26,3.9997710147372856,0.30051818159198,3.66963134467593,4.445478813780302,126.5266893301311,4.7056480532864695,121.6721268128624,133.65841292183708,7436.770381734318,1446.767697080877,5755.483220740987,10122.133247101598,6.676687634195193,1.3538767427994827,5.435278086326161,9.287349892033472,31.868911060411044,6.607995020219323,24.30037102537024,40.43430274433553
2065,-2.4767824519644788,0.4015321446072743,-3.267860923113576,-2.200785456104133,31.162,1.3218532445018254,29.48,33.02,3.9141516413601884,0.30699172501478855,3.5626321581047695,4.369663639959332,125.41853419531489,4.5022075780868365,120.84912340925271,132.33384736400157,8305.273210909592,772.9006665349356,7391.491934413398,9625.351677938399,7.547570454205621,0.9948101885677363,6.56047797396735,9.1888497290845,29.260695619515467,3.896593529560335,25.09949371685406,36.37545756818108
2066,-2.608689183212401,0.6102265891634989,-3.6565605404227903,-1.9939838423966296,30.784,1.3545272237943402,29.09,32.77,3.8299808159846265,0.2980559149492361,3.4919885782549454,4.287600170872667,124.23397360491704,4.187750098412415,120.04085865434669,130.8391873931238,8790.962599727322,1492.594861581461,7116.817554938276,11181.375824976001,7.91442190428234,1.439898365142403,6.068739531533829,9.979082716791574,28.985613173505566,3.7898748077456403,24.29192856045086,34.964194355442935
2067,-2.1495122838262946,1.1777765931301112,-3.6590941695865626,-0.436775899229745,30.336000000000002,1.3939670010441416,28.7,32.44,3.742847825800035,0.2892169111079361,3.4275513537162507,4.196860253550537,123.20636186189225,3.807258609414043,119.4268764361063,129.37300411684762,8344.146110852265,1658.9905674757917,5909.551950032696,11130.855244639306,7.324716680389639,1.7517995374782012,4.852631661852929,10.290825796097014,31.520238222083265,8.79007322755951,24.342454618205586,48.14998922282618
2068,-1.7743517799388904,0.7456255775685776,-2.9164541450031463,-1.0292842372864492,29.992,1.4283893026762702,28.27,32.25,3.672166179304896,0.28746777625651504,3.3523121134550213,4.153757777241128,122.2653887098955,3.6892355530542162,118.58196368783237,128.79869076716676,7295.55283475643,706.9754855716898,6671.478377624661,8628.810055524185,6.313019669626454,0.8247490397443232,5.4314168204076365,7.877287153513944,29.55850744432913,5.37452270233287,25.078598627446162,39.200274191511646
2069,-2.4866004351706996,0.7323927151171443,-3.3060409637575656,-1.1065850086301647,29.695999999999998,1.4837196500687044,27.85,32.11,3.6143843457868017,0.29054715996718344,3.2789822039003163,4.116999485534739,121.535186920119,3.6384341761471712,117.73724250988569,128.2154931652052,7724.047423984724,681.5693697847993,6817.643176235503,8538.184125956828,6.6055397053293365,0.5867169656737157,5.702107485996154,7.485082419663459,30.277085793390235,7.051278958086966,20.35938956777642,38.38260921146017
