year,glacier_wide_balance,area_km2,volume_km3,mean_thickness_m,cum_balance,total_annual_runoff_mm,peak_daily_discharge_m3s,mean_annual_discharge_m3s,total_annual_discharge_m3,mean_summer_T,annual_precip_mm,elev_min,elev_max,size_class
2059,-3.079192381613875,34.51,4.747607671742908,137.57194064743283,-54.35124268640718,9421.890877249414,32.57433354550333,9.504113398090514,299721720.1221824,11.87375132947626,2770.929616548358,585.9232958526795,1609.842579241746,large
2060,-1.0867317976682176,34.04,4.6332245397418585,136.1111791933566,-55.4379744840754,7569.996430424573,37.23474592600585,7.458784940401956,235864680.89936683,9.907870182383888,2831.264009470344,589.8616131009974,1609.842579241746,large
2061,0.10025178987195392,33.82,4.592496475523873,135.7923263017112,-55.33772269420344,6879.006927826922,26.383694348920912,6.7093678611389596,211586624.86887822,11.01780922530251,3046.6981863274673,592.8605134924026,1609.842579241746,large
2062,-2.6139630756390058,33.82,4.596263715005506,135.90371717934673,-57.95168576984245,7813.401228011554,32.945180630767716,7.705627926128124,243004682.27837652,12.022988920763623,2269.6414389773245,593.8055193538565,1609.842579241746,large
2063,-1.4848390206792492,33.47,4.499983999432535,134.44828202666673,-59.436524790521695,7179.560190177064,29.41756009520277,6.920361792666383,218240529.49352705,11.644637958000375,2485.7945975898538,599.8360539023288,1609.842579241746,large
2064,-2.0741505167378262,33.26,4.445478813780302,133.65841292183708,-61.51067530725952,6872.607970172294,40.43430274433553,6.523883955851155,206300868.00550756,11.026035240022306,2094.120195979746,606.278386479638,1609.842579241746,large
2065,-2.275361985570298,33.02,4.369663639959332,132.33384736400157,-63.78603729282982,8637.946030898876,28.95636300066714,8.167342580478895,257565315.61798245,11.424206174075442,2776.7383500302503,618.4667718847966,1609.842579241746,large
2066,-2.5314719019764835,32.77,4.287600170872667,130.8391873931238,-66.3175091948063,7682.249512430905,30.515150727223926,7.3162469905039655,230725165.09253308,11.18696019974205,2247.653270209604,625.5710686044317,1609.842579241746,large
2067,-1.212084201531592,32.44,4.196860253550537,129.37300411684762,-67.5295933963379,8132.848916618923,28.033751991203196,7.644198148642893,241067432.81560227,10.765246080452817,3020.554992782867,620.8042652383942,1609.842579241746,large
2068,-1.0292842372864492,32.25,4.153757777241128,128.79869076716676,-68.55887763362435,6753.984492401936,25.119074116182603,6.146655985417863,194372014.23327783,10.86205201938287,2497.885646548836,637.6934548868389,1609.842579241746,large
2069,-1.1065850086301647,32.11,4.116999485534739,128.2154931652052,-69.66546264225451,6817.643176235503,27.72894543271592,6.4160998920423395,202338126.1954472,11.094606047228462,2492.096800190794,629.2899464052329,1609.842579241746,large
2070,-1.6700851170234206,31.92,4.077694521541549,127.74732210343198,-71.33554775927793,6629.542678868145,24.840499930197968,6.027229221748606,190074700.73706403,11.41199847939983,2163.8300826382424,626.6161492402309,1609.842579241746,large
2071,-1.0257621638033467,31.7,4.018960171250494,126.78107795742882,-72.36130992308128,6864.271012586539,25.019505328927156,6.2253584355054,196322903.62209827,11.065119764216403,2547.509780040821,630.7765538818261,1609.842579241746,large
2072,-0.46610885180828443,31.51,3.98297888401079,126.40364595400793,-72.82741877488957,7748.052693927577,34.20267487860226,6.817174347865977,215575414.0979571,10.253855926694351,3177.2189673942453,633.9475744419278,1609.842579241746,large
2073,-2.6151810920970724,31.45,3.966643926941473,126.12540308239979,-75.44259986698664,7935.667236251934,24.035050254363682,7.286534298111023,229788145.6252292,12.375698815358563,2321.5092802409736,630.1126445495975,1609.842579241746,large
2074,-1.9772414721965272,31.16,3.8771097040023665,124.42585699622487,-77.41984133918317,8159.164949068109,26.300828393410036,7.4938555690405995,236326229.22526434,12.033579847224221,2697.388218518829,638.0721372508905,1609.842579241746,large
2075,-2.347064823284256,30.85,3.809914152483045,123.49802763316191,-79.76690616246742,7094.729841884018,27.00686521941801,6.497841027861233,204915914.65463182,12.12009386408054,2070.876763471737,642.7559724001642,1609.842579241746,large
2076,-2.5419835313022223,30.52,3.731281547476911,122.25693143764454,-82.30888969376964,8301.581421552604,39.98631538024929,7.108333907414543,224782578.15382564,12.257304744735286,2511.186822564681,643.0954269299073,1609.842579241746,large
2077,-2.06610406440829,29.99,3.648025966499506,121.64141268754605,-84.37499375817794,8364.195267310046,32.7597846838108,7.159657669127791,225786964.253614,12.122782064657985,2743.1316155297,642.8008420060763,1609.842579241746,large
2078,-1.441528229056784,29.64,3.58071138393932,120.80672685355331,-85.81652198723472,7408.059410983569,25.69644019966499,6.402255586435876,201901532.1738418,12.208897362721844,2597.58029400984,645.0386863274621,1609.842579241746,large
2079,-0.893833552879733,29.32,3.5342967831436227,120.54218223545782,-86.71035554011445,7117.775423229668,31.90909331378247,5.895810891483023,185930292.27380863,10.834403224750542,2707.752998265678,644.6949062082238,1609.842579241746,large
2080,-1.911693619496236,29.17,3.505343450485808,120.16947036290051,-88.62204915961068,7358.584120734893,26.3878875519696,6.093796773522935,192700479.09105164,12.364022393448773,2369.260204153592,646.8318187526635,1609.842579241746,large
2081,-0.4905148389087585,28.82,3.4448209754241748,119.52883329022119,-89.11256399851943,7149.775187791846,26.50545331337603,5.7783665341363815,182226567.02052492,10.458534800625202,2895.0608867833716,654.1334735952754,1609.842579241746,large
2082,-3.053803262624504,28.71,3.429145621458221,119.44080882822087,-92.16636726114393,7457.6325129441975,25.388967118019632,6.1473519284574785,193862890.41583505,11.706811220886754,1914.0229978523953,650.0909869392278,1609.842579241746,large
2083,-3.2496960791377805,28.16,3.334617346270206,118.4168091715272,-95.41606334028171,8827.847147629314,33.31649020354616,7.149981123779959,225481804.7195248,12.646197671612809,2422.2715626421245,659.7862966720938,1609.842579241746,large
2084,-3.1673177296727553,27.42,3.237283778016937,118.06286571907137,-98.58338106995447,8642.289078202215,30.890208859399795,6.915668212532207,218690026.48397845,13.330201950917354,2372.9886152339295,666.2763689748723,1609.842579241746,large
2085,-2.2735465906723515,26.66,3.145705276945365,117.99344624701294,-100.85692766062682,8609.498393627977,32.60038206987581,6.430672199888544,202797678.49568516,11.405022559095823,2740.1852224818617,673.082806974419,1609.842579241746,large
2086,-1.2893165582734727,26.12,3.0809027918527803,117.95186798823815,-102.14624421890029,6983.422354966205,21.98690834031698,5.356754824091608,168930620.13255295,11.159205457575778,2460.4954278996875,686.7397783063192,1609.842579241746,large
2087,-1.636677948554743,25.83,3.0440840639785915,117.85071869835818,-103.78292216745504,7551.420244467442,24.596019803287213,5.580532962750495,175987687.5132996,10.981541073977782,2554.4103949568307,689.3264295143582,1609.842579241746,large
2088,-0.691312818860709,25.53,2.9981671363995956,117.43702061886391,-104.47423498631575,8995.013742466059,35.98110316893787,6.47796492680065,204848798.10126087,11.73351695601246,3584.0207147715873,697.8950764647668,1609.842579241746,large
2089,-1.8067432873059184,25.45,2.9785863693369605,117.0367925083285,-106.28097827362167,8021.915783874457,22.394674381107567,5.9616532552571435,188006697.0577893,11.485650000502073,2682.640948451547,692.0634605779877,1609.842579241746,large
2090,-2.5724034527886985,25.07,2.9285214698608764,116.8137802098475,-108.85338172641036,8387.587785978916,31.909980617444734,5.980145784564293,188589877.46201953,12.500379707639473,2507.605539966429,699.1273918217278,1609.842579241746,large
